title,price,OS,SSD,Display,In_build_sw,warranty,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores
Lenovo Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 81WA00Q3IN|81WA00MEIN Thin and Light...,33990,64 bit Windows 11 Operating System,256,35.56 cm (14 inch) Display,,2 Years Onsite�Warranty,71,8,DDR4,Intel,Core i3,10.0,
DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop,36990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,72,8,DDR4,Intel,Core i3,10.0,
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A,86990,Mac OS Operating System,256,33.78 cm (13.3 inch) Display,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warra­nty,74,8,DDR4,Apple,M1,,
DELL Vostro Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) Vostro 5625 Thin and Light La...,99693,64 bit Windows 11 Operating System,512,40.64 cm (16 inch) Display,Office Home and Student 2021,1 Year Onsite Hardware Service,75,16,DDR4,AMD,Ryzen 7,,8.0
ASUS Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X415JA-EK324WS Notebook,33990,Windows 11 Operating System,512,35.56 cm (14 inch) Display,,1 Year Manufacturer,76,8,DDR4,Intel,Core i3,10.0,
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,112490,Mac OS Operating System,256,34.54 cm (13.6 Inch) Display,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warranty,77,8,Unified Memory,Apple,M2,,
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,48990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,78,8,DDR4,Intel,Core i5,11.0,
Lenovo IdeaPad 3 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Laptop,58490,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,2 Year Onsite Warranty,79,8,DDR4,Intel,Core i5,12.0,
APPLE 2021 Macbook Pro M1 Max - (32 GB/1 TB SSD/Mac OS Monterey) MK1A3HN/A,309490,Mac OS Operating System,1024,41.15 cm (16.2 inch) Display,"iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warranty,80,32,Unified Memory,Apple,M1,,
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) EG2035TU/ 15-EG2035TU Thin and...,72990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,81,16,DDR4,Intel,Core i5,12.0,
ASUS Vivobook Ultra 14 (2022) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) K413EA-EB522WS Thi...,56990,64 bit Windows 11 Operating System,512,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,82,16,DDR4,Intel,Core i5,11.0,
Lenovo IdeaPad Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 16...,54990,Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,85,8,DDR4,Intel,Core i5,11.0,
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,54990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,86,8,DDR4,Intel,Core i5,10.0,
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows ...,124990,Windows 11 Operating System,1024,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student,1 Year Onsite Warranty,87,16,DDR5,AMD,Ryzen 7,,8.0
DELL Inspiron Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light Laptop,44890,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,88,8,DDR4,Intel,Core i3,11.0,
MSI Creator M16 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,99990,64 bit Windows 11 Operating System,512,40.64 cm (16 inch) Display,"Windows 11 Home, MSI Center, CoolerBoost",2 Year On-Site & Carry-In Warranty,89,16,DDR4,Intel,Core i7,12.0,
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,85990,Windows 11 Operating System,1024,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student,1 Year Onsite Warranty,90,16,DDR4,AMD,Ryzen 7,,8.0
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) K513EA-L312WS Thin ...,45990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,91,8,DDR4,Intel,Core i3,11.0,
acer Extensa Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54/ EX 215-54-356V Thin and L...,33990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty (ITW),92,8,DDR4,Intel,Core i3,11.0,
