title,price,SSD,In_build_sw,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores,OS_Name,OS_Bitness,Display_inch,Touchscreen,Warranty_Years,Warranty_Type,average_rating
Lenovo Ideapad 720S Core i7 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) 720S-13IKB Thin and Light Lapt...,86000,512,"Microsoft Office Home and Student 2016, Lenovo App Explorer, Lenovo Companion 3.0",661,8,1,2,4,8.0,8.0,3,64.0,13.3,0,1,2,
SAMSUNG Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) NP550 Thin and Light Laptop,72990,512,,662,16,1,2,4,12.0,8.0,3,64.0,15.6,0,1,2,
HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15-eh2024AU Thin and Light La...,61990,512,,665,16,1,0,11,,6.0,3,64.0,15.6,0,1,2,
MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 305...,62990,512,"PCI-e SSD (NVMe) ready,Cooler Boost,Matrix Display (Extend),Hi-Res Audio,Nahimic 3,144Hz Panel,Thin Bezel",666,8,1,2,3,11.0,8.0,3,64.0,15.6,0,2,3,
ASUS (2022) Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100FKA-BP1104W Laptop,30490,128,,667,4,1,2,1,,2.0,3,64.0,11.6,1,1,2,
ASUS Vivobook 15 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Laptop,57359,512,"Windows 11, Microsoft Office H&S 2021, 1 Year McAfee",668,8,1,2,3,12.0,8.0,3,64.0,15.6,0,1,0,
HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-GY0501AU Thin and Light Laptop,38999,256,Office Home and Student 2019 included,669,8,1,0,10,,2.0,3,64.0,15.6,0,1,2,
Lenovo Ideapad 720S Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) 720S-13IKB Thin and Light Lapt...,74990,512,"Microsoft Office Home and Student 2016, Lenovo App Explorer, Lenovo Companion 3.0",670,8,1,2,3,8.0,8.0,3,64.0,13.3,0,1,2,
DELL Inspiron Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5420 Thin and Light Lapto...,91958,512,,671,16,1,2,3,12.0,8.0,3,64.0,14.0,0,1,2,
acer Nitro 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,63999,512,"Acer Care Center, Acer Product Registration, NitroSense",672,8,1,2,3,11.0,8.0,3,64.0,15.6,0,1,0,
